thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Cue.OnsetTime,Dly.OnsetTime,Tgt.OnsetTime,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),date,expName,frameRate,
,,12345,1,0,Wed Mar 11 09:23:49 2026,1,loss.neut,5.004030417185277,9.161705874837935,9.165505583863705,0.5,0.0,9.680772916879505,0,"Miss!
$0.00",0.0,11.04126258380711,13.032663166988641,2,10.042794667184353,15.04681266611442,0.0,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
,,12345,1,0,Wed Mar 11 09:23:59 2026,2,reward.low,15.047246625181288,19.286533124744892,19.286880749743432,0.5,0,19.793658124748617,0,"Miss!
$0.00",0.0,21.05224704183638,23.065958458930254,4,12.025557207874954,27.072778541129082,0.0,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
,,12345,1,0,Wed Mar 11 09:24:11 2026,3,loss.high,27.073468499816954,31.28896495886147,31.289379791822284,0.5,-5.0,31.795179875101894,0,"Miss!
-$5.00",-5.0,33.08507104218006,35.07313545886427,2,10.000245082657784,37.07371237501502,-5.0,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
,,12345,1,0,Wed Mar 11 09:24:21 2026,4,loss.low,37.07421512482688,41.36468524998054,41.3651637500152,0.5,-1.5,41.86965220887214,0,"Miss!
-$1.50",-6.5,43.089475833810866,45.08263191673905,4,12.022580165881664,49.09678649995476,-6.5,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
,,12345,1,0,Wed Mar 11 09:24:33 2026,5,reward.neut,49.09726362489164,53.564340834040195,53.564874624833465,0.5,0,54.06912274984643,0,"Miss!
$0.00",-6.5,55.10006254212931,57.10115991719067,4,12.00992154236883,61.10719662485644,-6.5,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
,,12345,1,0,Wed Mar 11 09:24:45 2026,6,reward.high,61.107702209148556,65.31315191695467,65.31360933417454,0.5,0,65.81946737505496,0,"Miss!
$0.00",-6.5,67.11061820900068,69.114968709182,6,14.008902333211154,75.11661475012079,-6.5,12345,1,no,no,no,2026-03-11_09h16.40.094,MID1.1,None,
